Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G4.SCI.01,4,Grades 4–5,Science,Physical Science—Energy,Relate speed and energy,Use evidence to explain how an object’s speed relates to its energy.,I can use evidence to explain how changing speed changes an object’s energy.,How does motion provide evidence of energy?,Essential,4.PS3.1,Not Applicable,4-PS3-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 motion and forces,5.PS1 / advanced Grade 5 science pathway,Claim-evidence-reasoning from motion data,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.02,4,Grades 4–5,Science,Physical Science—Energy,Investigate collision energy,Investigate how speed affects changes during a collision.,I can plan and use a fair test to show how speed affects the result of a collision.,How does energy transfer during a collision?,Essential,4.PS3.2,Not Applicable,4-PS3-3,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 forces investigations,5.PS1 / advanced Grade 5 science pathway,Collision investigation report,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.03,4,Grades 4–5,Science,Physical Science—Energy,Transform stored energy,Describe how stored energy changes form for practical use in a system.,I can model how stored energy is converted to another form in a useful system.,How can energy change form to accomplish a task?,Essential,4.PS3.3,Not Applicable,4-PS3-4,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 forces and motion,5-PS1 and engineering applications,Energy-conversion model or device,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.04,4,Grades 4–5,Science,Physical Science—Waves,Model wave properties,Model amplitude and wavelength and explain wave addition or cancellation.,"I can use a model to describe amplitude, wavelength, and what happens when waves cross.",How can a model make an invisible wave pattern understandable?,Essential,4.PS4.1,Not Applicable,4-PS4-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 patterns,MS-PS4-1 extension after Grade 5 readiness,Wave model demonstration,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.05,4,Grades 4–5,Science,Physical Science—Light,Explain color and bending of light,Explain how available light and bending of light determine what humans see.,I can use evidence and a model to explain how light sources and bending affect what we see.,How does light make vision possible?,Essential,4.PS4.2,Not Applicable,4-PS4-2,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 observations of light,MS-PS4-2 extension after Grade 5 readiness,Light-path investigation and explanation,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.06,4,Grades 4–5,Science,Physical Science—Information Transfer,Investigate lenses and wave technologies,Investigate how lenses enhance senses and devices use waves to transmit information.,I can explain how lenses and digital devices use waves to help people see or communicate.,How do technologies use wave behavior to extend human abilities?,Essential,4.PS4.3,Not Applicable,4-PS4-3,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 communication technologies,MS-PS4-3 extension after Grade 5 readiness,Lens/device investigation or coded-message design,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.07,4,Grades 4–5,Science,Life Science—Ecosystems,Model matter flow in food webs,"Model the flow of matter from sunlight through producers, consumers, and decomposers.",I can model and explain how matter moves through a food web.,How are organisms connected through matter and energy?,Essential,4.LS2.1,Not Applicable,5-LS2-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 organism needs,5.LS2.1 and advanced Grade 5 science pathway,Food-web model with matter-flow explanation,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.08,4,Grades 4–5,Science,Life Science—Ecosystems,Explain stable ecosystem roles,Evaluate how organism roles interconnect and support needs in a stable food web.,"I can use evidence to explain how producers, consumers, and decomposers depend on one another.",What keeps a food web stable?,Essential,4.LS2.2,Not Applicable,5-LS2-1,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 habitats and survival,5.LS2.1 and advanced Grade 5 science pathway,Ecosystem role case analysis,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.09,4,Grades 4–5,Science,Life Science—Ecosystems,Predict effects of species changes,Use models to determine how adding or removing a species can affect ecosystem balance.,I can use a model to predict how an ecosystem changes when a species enters or leaves.,How can one population change affect an entire system?,Essential,4.LS2.3,Not Applicable,3-LS4-4,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 adaptation and survival,MS-LS2-4 extension after Grade 5 readiness,Species-change ecosystem simulation,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
FF.G4.SCI.10,4,Grades 4–5,Science,Life Science—Environmental Change,Analyze organism responses to change,"Analyze data to explain how environmental change affects survival, reproduction, and movement.",I can analyze data to explain different ways organisms respond to environmental change.,Why do organisms respond differently when environments change?,Essential,4.LS2.4,Not Applicable,3-LS4-4,B1; B2; C2; D1; D2; D4,Direct,Direct,"The Tennessee expectation is mapped to the closest NGSS 3–5 performance expectation; where grade labels differ, the shared DCI/practice is documented.",Grade 3 inheritance and environment,MS-LS2-1/4 extension after Grade 5 readiness,Environmental-change data analysis,TN Science 2022 PDF p.41,Draft—Head of School Review,Head of School,8
