Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G4.ELA.01,4,Grades 4–5,English Language Arts,Foundational Skills,Read fluently for meaning,"Read grade-level text accurately, at an appropriate rate, and with expression that supports comprehension.","I can read grade-level text accurately and fluently, then explain how my reading supports meaning.",How does fluent reading help a reader understand and communicate meaning?,Essential,4.FL.F.5,CCSS.ELA-LITERACY.RF.4.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Both standards require accurate, purposeful oral reading that supports comprehension.",Grade 3 fluency and decoding,Grade 5 fluency with increasingly complex text,Recorded reading with accuracy/rate rubric plus oral comprehension conference,TN ELA PDF p.13; CCSS ELA Grade 4 RF,Draft—Head of School Review,Head of School,8
FF.G4.ELA.02,4,Grades 4–5,English Language Arts,Language,Use standard grammar and usage,Apply grade-appropriate grammar and usage when speaking and writing.,"I can use complete sentences, correct verb forms, pronouns, modifiers, and conjunctions in my speaking and writing.",How do language choices make ideas precise and understandable?,Essential,4.FL.SC.6,CCSS.ELA-LITERACY.L.4.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,TN and CCSS expectations address command of grade-level grammar and usage.,Grade 3 grammar and sentence conventions,"Grade 5 grammar, verb tense, and sentence complexity",Edit an authentic draft and explain three grammar revisions,TN ELA PDF pp.14–15; CCSS ELA Grade 4 L,Draft—Head of School Review,Head of School,8
FF.G4.ELA.03,4,Grades 4–5,English Language Arts,Language,"Apply capitalization, punctuation, and spelling","Use grade-appropriate conventions of capitalization, punctuation, and spelling in finished work.","I can edit my writing for capitalization, punctuation, and spelling and explain the rules I used.",How do conventions help a reader follow an author’s thinking?,Essential,4.FL.SC.6,CCSS.ELA-LITERACY.L.4.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,TN embeds conventions within the language standard; CCSS separates conventions as L.4.2.,"Grade 3 capitalization, punctuation, and spelling",Grade 5 conventions and editing independence,Publish a revised paragraph with an annotated editing checklist,TN ELA PDF pp.14–15; CCSS ELA Grade 4 L,Draft—Head of School Review,Head of School,8
FF.G4.ELA.04,4,Grades 4–5,English Language Arts,Vocabulary,Determine word meaning in context,"Use context, word parts, and reference tools to determine meanings of unfamiliar and multiple-meaning words.","I can use context clues, roots and affixes, and reference tools to determine a word’s meaning.",What strategies help readers unlock unfamiliar words?,Essential,4.FL.VA.7a,CCSS.ELA-LITERACY.L.4.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"The frameworks share context, morphology, and reference-tool strategies.",Grade 3 context clues and affixes,Grade 5 Greek/Latin roots and nuanced context,Vocabulary think-aloud using three different strategies,TN ELA PDF p.16; CCSS ELA Grade 4 L,Draft—Head of School Review,Head of School,8
FF.G4.ELA.05,4,Grades 4–5,English Language Arts,Vocabulary,Interpret figurative language and word relationships,"Explain similes, metaphors, idioms, antonyms, synonyms, and shades of meaning.",I can explain figurative language and compare the meanings of related words.,How does figurative and precise language shape a reader’s understanding?,Supporting,4.FL.VA.7b,CCSS.ELA-LITERACY.L.4.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"Both standards address figurative language, relationships, and nuances in meaning.",Grade 3 literal/nonliteral meaning,Grade 5 figurative language and word nuance,Create and explain a figurative-language mini anthology,TN ELA PDF p.16; CCSS ELA Grade 4 L,Draft—Head of School Review,Head of School,8
FF.G4.ELA.06,4,Grades 4–5,English Language Arts,Vocabulary,Acquire academic and domain vocabulary,Use grade-appropriate academic and subject-specific words accurately in speaking and writing.,I can use new academic and domain-specific vocabulary accurately in discussion and writing.,How does precise vocabulary strengthen communication across subjects?,Essential,4.FL.VA.7c,CCSS.ELA-LITERACY.L.4.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Both frameworks require accurate acquisition and use of general academic and domain vocabulary.,Grade 3 academic vocabulary,Grade 5 independent vocabulary acquisition,Use a curated word bank accurately in an explanatory product,TN ELA PDF p.16; CCSS ELA Grade 4 L,Draft—Head of School Review,Head of School,8
FF.G4.ELA.07,4,Grades 4–5,English Language Arts,Literature,Cite details and make inferences,Use details and examples from literary text to explain explicit meaning and support inferences.,I can refer to specific details and examples when I explain what a story says and infer.,How does evidence turn an interpretation into a convincing idea?,Essential,4.RL.KID.1,CCSS.ELA-LITERACY.RL.4.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The standards are substantively equivalent evidence-and-inference expectations.,Grade 3 text evidence,Grade 5 quoting accurately and inferring,Evidence-based response plus teacher conference,TN ELA PDF p.29; CCSS ELA Grade 4 RL,Draft—Head of School Review,Head of School,8
FF.G4.ELA.08,4,Grades 4–5,English Language Arts,Literature,Determine theme and summarize,Determine a literary theme from details and provide an objective summary.,I can determine a theme from story details and summarize the text without adding my opinion.,How do details reveal a text’s larger message?,Essential,4.RL.KID.2,CCSS.ELA-LITERACY.RL.4.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Both require theme determination and summary grounded in details.,Grade 3 central message and recount,Grade 5 theme comparison and objective summary,Theme evidence map and concise summary,TN ELA PDF p.30; CCSS ELA Grade 4 RL,Draft—Head of School Review,Head of School,8
FF.G4.ELA.09,4,Grades 4–5,English Language Arts,Literature,Analyze story elements,"Describe characters, settings, and events in depth using specific details.","I can describe how a character, setting, or event develops by using specific details.",How do story elements interact to shape a narrative?,Essential,4.RL.KID.3,CCSS.ELA-LITERACY.RL.4.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,Both focus on in-depth description using textual evidence.,Grade 3 character traits and event sequence,Grade 5 comparison of story elements,Character-change analysis with cited details,TN ELA PDF p.31; CCSS ELA Grade 4 RL,Draft—Head of School Review,Head of School,8
FF.G4.ELA.10,4,Grades 4–5,English Language Arts,Literature,"Analyze literary craft, structure, and viewpoint","Interpret words and phrases, distinguish structural forms, and compare points of view in literature.","I can explain how an author’s word choice, structure, and point of view shape a literary text.",How do an author’s craft choices influence the experience of a story or poem?,Essential,4.RL.CS.4; 4.RL.CS.5; 4.RL.CS.6,CCSS.ELA-LITERACY.RL.4.4; CCSS.ELA-LITERACY.RL.4.5; CCSS.ELA-LITERACY.RL.4.6,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,"TN and CCSS align across vocabulary, structural form, and narrative point of view.","Grade 3 word meaning, parts of text, viewpoint","Grade 5 figurative language, structure, narrator perspective",Comparative craft commentary on two short texts,TN ELA PDF pp.33–35; CCSS ELA Grade 4 RL,Draft—Head of School Review,Head of School,12
