Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G4.MATH.01,4,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Interpret multiplicative comparison,Interpret and represent multiplication equations as comparisons.,I can explain and write equations that show one quantity is a number of times another.,How can multiplication describe a comparison?,Essential,4.OA.A.1,CCSS.MATH.CONTENT.4.OA.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,Grade 3 multiplication meaning,5.OA.A.1–2 numerical expressions,Comparison model and explanation,TN Math 2021 PDF p.48,Draft—Head of School Review,Head of School,8
FF.G4.MATH.02,4,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Solve multiplicative comparison problems,Multiply or divide in context and distinguish multiplicative from additive comparison.,I can solve multiplicative comparison problems and explain why the comparison is multiplicative.,How can a situation tell us whether to add or multiply?,Essential,4.OA.A.2,CCSS.MATH.CONTENT.4.OA.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.OA.A.3,5.NBT.B.5–6,Context problem set with oral defense,TN Math 2021 PDF p.48,Draft—Head of School Review,Head of School,8
FF.G4.MATH.03,4,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Solve multistep whole-number problems,"Use all four operations, equations, and contextual interpretation of remainders.","I can solve a multistep problem, represent the unknown, and interpret any remainder in context.",How do models and equations organize multistep reasoning?,Essential,4.OA.A.3,CCSS.MATH.CONTENT.4.OA.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.OA.D.8,5.OA.A.1–2,Authentic budget or logistics problem,TN Math 2021 PDF p.48,Draft—Head of School Review,Head of School,8
FF.G4.MATH.04,4,Grades 4–5,Mathematics,Operations & Algebraic Thinking,"Analyze factors, multiples, primes, and composites",Find factor pairs and classify numbers by multiplicative properties.,"I can find factor pairs and determine whether a number is prime, composite, or a multiple.",What do factors reveal about the structure of a number?,Essential,4.OA.B.4,CCSS.MATH.CONTENT.4.OA.B.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.OA.C.7,5.NF.B.4,Factor investigation and classification justification,TN Math 2021 PDF p.48,Draft—Head of School Review,Head of School,8
FF.G4.MATH.05,4,Grades 4–5,Mathematics,Operations & Algebraic Thinking,Generate and analyze patterns,Generate number or shape patterns from rules and explain features not stated in the rule.,I can generate a pattern from a rule and explain a feature I notice.,How can a rule create predictable—and surprising—patterns?,Essential,4.OA.C.5,CCSS.MATH.CONTENT.4.OA.C.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.OA.D.9,5.OA.B.3,Pattern rule presentation with conjecture,TN Math 2021 PDF p.48,Draft—Head of School Review,Head of School,8
FF.G4.MATH.06,4,Grades 4–5,Mathematics,Number & Operations—Base Ten,Reason about place-value relationships,Explain why a digit represents ten times the value of the same digit one place to its right.,"I can use models and equations to explain ten-times place-value relationships through 1,000,000.",Why does moving one place change a digit’s value by a factor of ten?,Essential,4.NBT.A.1,CCSS.MATH.CONTENT.4.NBT.A.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.NBT.A.1,5.NBT.A.1,Place-value model and written explanation,TN Math 2021 PDF p.49,Draft—Head of School Review,Head of School,8
FF.G4.MATH.07,4,Grades 4–5,Mathematics,Number & Operations—Base Ten,"Read, write, and compare whole numbers","Represent numbers through 1,000,000 in standard, word, and expanded forms and compare them.","I can read, write, expand, and compare multi-digit whole numbers.",How do multiple representations show the value of a number?,Essential,4.NBT.A.2,CCSS.MATH.CONTENT.4.NBT.A.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.NBT.A.1,5.NBT.A.3,Number representation portfolio,TN Math 2021 PDF p.49,Draft—Head of School Review,Head of School,8
FF.G4.MATH.08,4,Grades 4–5,Mathematics,Number & Operations—Base Ten,Round whole numbers using place value,Round through the hundred-thousands place and justify the result with a number line.,I can round a multi-digit number to any place and justify it on a number line.,How does rounding communicate a useful approximation?,Essential,4.NBT.A.3,CCSS.MATH.CONTENT.4.NBT.A.3,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.NBT.A.1,5.NBT.A.4,Rounding explanation using open number lines,TN Math 2021 PDF p.49,Draft—Head of School Review,Head of School,8
FF.G4.MATH.09,4,Grades 4–5,Mathematics,Number & Operations—Base Ten,Add and subtract fluently,"Fluently add and subtract whole numbers within 1,000,000 using efficient strategies and algorithms.","I can accurately and efficiently add and subtract within 1,000,000 and check my result.",What makes a computation strategy both efficient and reliable?,Essential,4.NBT.B.4,CCSS.MATH.CONTENT.4.NBT.B.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.NBT.A.2,5.NBT.B.5,Fluency check plus error analysis,TN Math 2021 PDF p.49,Draft—Head of School Review,Head of School,8
FF.G4.MATH.10,4,Grades 4–5,Mathematics,Number & Operations—Base Ten,Multiply multi-digit whole numbers,Multiply up to four digits by one digit and two digits by two digits using place-value reasoning.,"I can multiply multi-digit numbers and explain my method with equations, arrays, or area models.",How do place value and properties make multi-digit multiplication work?,Essential,4.NBT.B.5,CCSS.MATH.CONTENT.4.NBT.B.5,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Direct,The Tennessee and Common Core Grade 4 standards share the same domain and substantially aligned performance expectation.,3.OA.C.7,5.NBT.B.5,Model-method comparison and application problem,TN Math 2021 PDF p.49,Draft—Head of School Review,Head of School,8
