Forge Standard ID,Grade,Grade Band,Subject,Domain / Strand,Forge Standard,Description,Learning Target — I Can,Essential Question,Priority,Tennessee Standard(s),Common Core,NGSS,NSQ Online Course,TN Alignment,National Alignment,Alignment Rationale,Prerequisite Anchor,Next / Acceleration Anchor,Suggested Evidence / Performance Task,Source Document / Page,Review Status,Final Approver,Crosswalk Links
FF.G4.SS.01,4,Grades 4–5,Social Studies,Social Studies Practices,Gather inquiry sources,"Gather relevant information from varied primary and secondary sources, including print, artifacts, graphics, media, technology, and oral history.",I can gather useful primary and secondary sources for a focused historical question.,Which sources can help answer a historical question?,Essential,SSP.01,CCSS.ELA-LITERACY.RI.4.7; CCSS.ELA-LITERACY.W.4.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Grade 3 inquiry and source gathering,Grade 5 independent source selection,Inquiry source set with relevance notes,TN Social Studies 2024 PDF p.55,Draft—Head of School Review,Head of School,9
FF.G4.SS.02,4,Grades 4–5,Social Studies,Social Studies Practices,Critically examine sources,"Summarize, distinguish fact from opinion, infer, and evaluate purpose, viewpoint, and reliability.","I can examine a source for key ideas, fact and opinion, inference, purpose, viewpoint, and reliability.",How do we decide what a source can reliably tell us?,Essential,SSP.02,CCSS.ELA-LITERACY.RI.4.1; CCSS.ELA-LITERACY.RI.4.6; CCSS.ELA-LITERACY.RI.4.8,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Grade 3 source observation,Grade 5 corroboration and sourcing,Annotated primary-source analysis,TN Social Studies 2024 PDF p.55,Draft—Head of School Review,Head of School,10
FF.G4.SS.03,4,Grades 4–5,Social Studies,Social Studies Practices,Organize and compare evidence,"Organize data, compare accounts, recognize differences, and generate further questions.",I can organize and compare evidence from multiple sources and identify questions that remain.,How can differences among sources improve an investigation?,Essential,SSP.03,CCSS.ELA-LITERACY.RI.4.9; CCSS.ELA-LITERACY.W.4.8,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Grade 3 compare sources,Grade 5 multi-source synthesis,Source comparison matrix and next-question memo,TN Social Studies 2024 PDF p.55,Draft—Head of School Review,Head of School,9
FF.G4.SS.04,4,Grades 4–5,Social Studies,Social Studies Practices,Communicate evidence-based conclusions,"Defend ideas with evidence, compare viewpoints, explain cause/effect, predict outcomes, and practice civil discourse.",I can communicate and defend a conclusion with evidence while responding respectfully to other viewpoints.,How should evidence and civic discourse shape a conclusion?,Essential,SSP.04,CCSS.ELA-LITERACY.W.4.1; CCSS.ELA-LITERACY.SL.4.1; CCSS.ELA-LITERACY.SL.4.4,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Grade 3 evidence-based communication,Grade 5 sustained historical argument,Civic seminar or evidence-based presentation,TN Social Studies 2024 PDF p.56,Draft—Head of School Review,Head of School,10
FF.G4.SS.05,4,Grades 4–5,Social Studies,Social Studies Practices,Develop historical awareness,"Analyze continuity, change, context, and how accounts of the past change over time.",I can explain continuity and change and interpret an event within its historical context.,How does context influence what people did and how history is told?,Essential,SSP.05,CCSS.ELA-LITERACY.RI.4.6; CCSS.ELA-LITERACY.RI.4.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Grade 3 chronology and perspectives,Grade 5 historical causation and context,Then-and-now analysis with contextual evidence,TN Social Studies 2024 PDF p.56,Draft—Head of School Review,Head of School,9
FF.G4.SS.06,4,Grades 4–5,Social Studies,Social Studies Practices,Develop geographic awareness,"Use maps and spatial reasoning to analyze relationships among people, resources, regions, and environments.","I can select and interpret maps to explain relationships among people, resources, and environments.",How does geography shape choices and historical outcomes?,Essential,SSP.06,CCSS.ELA-LITERACY.RI.4.7,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Grade 3 map features and human-environment interaction,Grade 5 Tennessee and world geography,Geographic argument using two maps,TN Social Studies 2024 PDF p.56,Draft—Head of School Review,Head of School,8
FF.G4.SS.07,4,Grades 4–5,Social Studies,U.S. Before the Civil War,Analyze sectional conflict and enslavement,"Analyze regional differences, the national conflict over enslavement, lived experiences, abolitionist approaches, and the election of 1860.",I can use evidence to explain how sectional differences and conflict over enslavement contributed to the Civil War.,Why did sectional conflict become a national crisis?,Essential,4.01; 4.02; 4.03; 4.04; 4.05,CCSS.ELA-LITERACY.RI.4.1; CCSS.ELA-LITERACY.RI.4.9; CCSS.ELA-LITERACY.W.4.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Grade 3 expansion and industrial change,Grade 5 Tennessee history and geographic context,Sectional perspectives evidence portfolio,TN Social Studies 2024 PDF pp.57–58,Draft—Head of School Review,Head of School,14
FF.G4.SS.08,4,Grades 4–5,Social Studies,Civil War,"Explain causes, strategies, leadership, and turning points","Evaluate secession, border states, geographic strategy, leaders, contributions, battles, emancipation, and the Gettysburg Address.","I can explain how geography, leadership, strategy, and key events shaped the Civil War.",Which factors most influenced the course of the Civil War?,Essential,4.06; 4.07; 4.08; 4.09; 4.10; 4.11; 4.12; 4.13,CCSS.ELA-LITERACY.RI.4.3; CCSS.ELA-LITERACY.RI.4.7; CCSS.ELA-LITERACY.W.4.2,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Antebellum conflict competency,Grade 5 Tennessee Civil War connections,Annotated campaign map and turning-point defense,TN Social Studies 2024 PDF p.59,Draft—Head of School Review,Head of School,17
FF.G4.SS.09,4,Grades 4–5,Social Studies,Reconstruction,Evaluate consequences and Reconstruction,"Analyze postwar consequences, Lincoln’s assassination, constitutional amendments, competing plans, and the end of Reconstruction.","I can evaluate the successes, limits, and lasting consequences of Reconstruction.",To what extent did Reconstruction transform rights and citizenship?,Essential,4.14; 4.15; 4.16; 4.17; 4.18,CCSS.ELA-LITERACY.RI.4.1; CCSS.ELA-LITERACY.RI.4.9; CCSS.ELA-LITERACY.W.4.1,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Civil War course and outcomes,Grade 5 Tennessee Reconstruction and civics,Reconstruction scorecard with evidence,TN Social Studies 2024 PDF p.60,Draft—Head of School Review,Head of School,14
FF.G4.SS.10,4,Grades 4–5,Social Studies,Industrialization & Great Plains,"Explain settlement, innovation, industry, and labor","Analyze Great Plains settlement, transportation and inventions, industrial capitalism, working conditions, labor unions, entrepreneurs, and inventors.","I can explain how settlement, technology, business, and labor changed U.S. society after the Civil War.",Who benefited—and who faced new challenges—as the nation industrialized?,Essential,4.19; 4.20; 4.21; 4.22; 4.23; 4.24,CCSS.ELA-LITERACY.RI.4.3; CCSS.ELA-LITERACY.RI.4.9,Not Applicable,B1; B2; C2; D1; D2; D4,Direct,Supporting,"Tennessee content is primary; Common Core ELA standards support disciplinary reading, writing, speaking, and inquiry. NGSS is not applicable.",Reconstruction and westward context,Grade 5 Tennessee economic/geographic development,Industrial-era stakeholder exhibition,TN Social Studies 2024 PDF p.61,Draft—Head of School Review,Head of School,14
