Source Crosswalk (Grades 4–6),,,,,,
Many-to-many audit trail. Each row records one relationship between a Forge competency and an external standard.,,,,,,
,,,,,,
Forge Standard ID,Subject,Framework,External Standard Code,Alignment Strength,Alignment Rationale,Source / Locator
FF.G4.ELA.01,English Language Arts,Tennessee Academic Standards,4.FL.F.5,Direct,"Both standards require accurate, purposeful oral reading that supports comprehension.",TN ELA PDF p.13; CCSS ELA Grade 4 RF
FF.G4.ELA.01,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.RF.4.4,Direct,"Both standards require accurate, purposeful oral reading that supports comprehension.",TN ELA PDF p.13; CCSS ELA Grade 4 RF
FF.G4.ELA.01,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.01,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.01,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.01,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.01,English Language Arts,NSQ Online Courses (2025),D2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.01,English Language Arts,NSQ Online Courses (2025),D4,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.02,English Language Arts,Tennessee Academic Standards,4.FL.SC.6,Direct,TN and CCSS expectations address command of grade-level grammar and usage.,TN ELA PDF pp.14–15; CCSS ELA Grade 4 L
FF.G4.ELA.02,English Language Arts,Common Core State Standards,CCSS.ELA-LITERACY.L.4.1,Direct,TN and CCSS expectations address command of grade-level grammar and usage.,TN ELA PDF pp.14–15; CCSS ELA Grade 4 L
FF.G4.ELA.02,English Language Arts,NSQ Online Courses (2025),B1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.02,English Language Arts,NSQ Online Courses (2025),B2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.02,English Language Arts,NSQ Online Courses (2025),C2,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
FF.G4.ELA.02,English Language Arts,NSQ Online Courses (2025),D1,Design Alignment,"The competency includes a measurable objective, standards alignment, aligned learning activity, valid assessment evidence, and options for demonstrating mastery.",NSQ Online Courses 2025
